name,medium,context,description,time,lat,lon,place
Chinese,Billboard,Culture,Billboard; Culture,2017-07-20 20:10:07 EEST,51.3292852,12.3275639,GERMANY
,Poster,Shopping,Poster; Shopping,2017-07-20 13:50:39 EEST,51.33476482,12.36959428,GERMANY
Japanese,Poster,Service,Poster; Service,2017-07-20 22:42:03 EEST,51.32884375,12.32222127,GERMANY
English,Signage,Service,Signage; Service,2017-07-20 22:51:08 EEST,51.328348,12.32192296,GERMANY
English,Sticker,Entertainment,Sticker; Entertainment,2017-07-20 17:36:26 EEST,51.3376527,12.3339505,GERMANY
English,,Service,; Service,2017-07-20 17:39:09 EEST,51.3372637,12.3341355,GERMANY
Arabic,Signage,Food,Signage; Food,2017-07-20 17:48:09 EEST,51.3380107,12.3324161,GERMANY
English,Sticker,,Sticker; ,2017-07-20 18:34:29 EEST,51.3369176,12.3349687,GERMANY
English,Graffiti,Politico-social,Graffiti; Politico-social,2017-07-20 19:24:11 EEST,51.33707148,12.33502187,GERMANY
Denglish,Graffiti,Politico-social,Graffiti; Politico-social,2017-07-20 19:31:37 EEST,51.3352474,12.3334407,GERMANY
English,Graffiti,Politico-social,Graffiti; Politico-social,2017-07-20 19:32:32 EEST,51.3352089,12.3334289,GERMANY
English,Poster,Culture,Poster; Culture,2017-07-20 19:34:13 EEST,51.3351897,12.3334584,GERMANY
English,Signage,Service,Signage; Service,2017-07-20 19:48:00 EEST,51.3330081,12.3347524,GERMANY
English,Graffiti,Inspirational,Graffiti; Inspirational,2017-07-20 19:49:07 EEST,51.3327628,12.3347563,GERMANY
English,Sticker,Service,Sticker; Service,2017-07-20 19:53:48 EEST,51.3324083,12.3351666,GERMANY
French,"Poster,Signage",Food,"Poster,Signage; Food",2017-07-20 19:56:56 EEST,51.3316281,12.334322,GERMANY
English,Poster,Politico-social,Poster; Politico-social,2017-07-20 22:07:01 EEST,51.3298946,12.3292265,GERMANY
English,Graffiti,Politico-social,Graffiti; Politico-social,2017-07-20 22:09:19 EEST,51.33103373,12.33159513,GERMANY
English,Graffiti,Politico-social,Graffiti; Politico-social,2017-07-20 22:11:35 EEST,51.3310909,12.3334975,GERMANY
English,Note,Food,Note; Food,2017-07-20 21:41:03 EEST,51.32768684,12.31993053,GERMANY
English,Note,Food,Note; Food,2017-07-20 21:44:33 EEST,51.32768765,12.31992669,GERMANY
English,Sticker,Politico-social,Sticker; Politico-social,2017-07-21 09:25:02 EEST,51.33846484,12.3880726,GERMANY
English,Graffiti,Culture,Graffiti; Culture,2017-07-21 09:27:01 EEST,51.33818991,12.38715106,GERMANY
"Arabic,English,French,Russian,Turkish",Signage,Politico-social,Signage; Politico-social,2017-07-21 09:27:50 EEST,51.33785522,12.38604143,GERMANY
"English,French",Signage,Service,Signage; Service,2017-07-21 09:30:42 EEST,51.33776221,12.38606328,GERMANY
"Arabic,Turkish",Signage,Food,Signage; Food,2017-07-21 09:33:58 EEST,51.33790429,12.38465917,GERMANY
English,Signage,Culture,Signage; Culture,2017-07-21 09:37:57 EEST,51.33631158,12.38348983,GERMANY
English,Note,Service,Note; Service,2017-07-21 09:48:30 EEST,51.33486181,12.37475608,GERMANY
English,Sticker,Politico-social,Sticker; Politico-social,2017-07-21 09:51:58 EEST,51.33338263,12.37370638,GERMANY
English,Signage,Shopping,Signage; Shopping,2017-07-20 17:46:54 EEST,51.337757,12.3336962,GERMANY
English,Billboard,"Service,Culture","Billboard; Service,Culture",2017-07-20 17:50:23 EEST,51.3377789,12.3322879,GERMANY
Unknown,Billboard,Shopping,Billboard; Shopping,2017-07-20 17:53:24 EEST,51.3377854,12.3322834,GERMANY
Unknown,Poster,Culture,Poster; Culture,2017-07-20 18:27:08 EEST,51.3380181,12.3323297,GERMANY
English,Signage,Service,Signage; Service,2017-07-20 23:44:41 EEST,,,GERMANY
Denglish,Sticker,Inspirational,Sticker; Inspirational,2017-07-21 14:38:45 EEST,51.332712,12.37190625,GERMANY
English,Sticker,Inspirational,Sticker; Inspirational,2017-07-21 14:39:37 EEST,51.33277519,12.37188429,GERMANY
English,Sticker,Politico-social,Sticker; Politico-social,2017-07-21 14:38:04 EEST,51.3328496,12.3724754,GERMANY
English,Graffiti,Politico-social,Graffiti; Politico-social,2017-07-21 14:41:19 EEST,51.3327468,12.3714211,GERMANY
Spanish,Graffiti,Politico-social,Graffiti; Politico-social,2017-07-21 15:11:35 EEST,51.3322401,12.3678987,GERMANY
English,Poster,Shopping,Poster; Shopping,2017-07-21 15:14:51 EEST,51.3442384,12.38231002,GERMANY
"English,French",Signage,,Signage; ,2017-07-21 15:16:40 EEST,51.3444598,12.38211392,GERMANY
"English,French",Signage,,Signage; ,2017-07-21 15:18:01 EEST,51.34439731,12.38207789,GERMANY
English,Signage,,Signage; ,2017-07-21 15:19:08 EEST,51.34487844,12.38252345,GERMANY
"French,English",Signage,,Signage; ,2017-07-21 15:21:42 EEST,51.34476342,12.3818678,GERMANY
"English,French",Signage,,Signage; ,2017-07-21 15:23:27 EEST,51.34449348,12.38221603,GERMANY
English,Signage,Service,Signage; Service,2017-07-21 14:42:36 EEST,,,GERMANY
Spanish,Sticker,Politico-social,Sticker; Politico-social,2017-07-21 17:05:40 EEST,51.3319793,12.3686847,GERMANY
English,Graffiti,Politico-social,Graffiti; Politico-social,2017-07-21 17:06:28 EEST,51.331948,12.368685,GERMANY
Spanish,Graffiti,Inspirational,Graffiti; Inspirational,2017-07-21 17:07:27 EEST,51.3319565,12.3687032,GERMANY
English,Graffiti,Politico-social,Graffiti; Politico-social,2017-07-21 17:16:53 EEST,51.33219,12.3675895,GERMANY
English,Graffiti,Politico-social,Graffiti; Politico-social,2017-07-21 17:17:24 EEST,51.3321845,12.367544,GERMANY
English,Sticker,Politico-social,Sticker; Politico-social,2017-07-21 14:41:30 EEST,51.3328188,12.3714212,GERMANY
Unknown,Poster,Culture,Poster; Culture,2017-07-21 19:54:26 EEST,51.32806796,12.37370384,GERMANY
English,Poster,Entertainment,Poster; Entertainment,2017-07-21 19:55:22 EEST,51.32770343,12.37376201,GERMANY
French,Signage,Food,Signage; Food,2017-07-21 19:56:43 EEST,51.3267766,12.37401179,GERMANY
Denglish,Signage,Service,Signage; Service,2017-07-21 20:00:38 EEST,51.32554451,12.3755285,GERMANY
"Denglish,English",Poster,"Politico-social,Entertainment","Poster; Politico-social,Entertainment",2017-07-21 20:02:31 EEST,51.3245072,12.37684186,GERMANY
Denglish,Sticker,Entertainment,Sticker; Entertainment,2017-07-21 20:03:41 EEST,51.32396686,12.37686331,GERMANY
Unknown,Graffiti,Politico-social,Graffiti; Politico-social,2017-07-21 20:06:01 EEST,51.3242684,12.37576847,GERMANY
English,Sticker,Politico-social,Sticker; Politico-social,2017-07-21 20:07:00 EEST,51.32430905,12.37501401,GERMANY
English,Graffiti,"Culture,Inspirational","Graffiti; Culture,Inspirational",2017-07-21 20:07:45 EEST,51.3242956,12.37467748,GERMANY
Italian,Signage,Food,Signage; Food,2017-07-21 20:10:02 EEST,51.32373741,12.3733741,GERMANY
English,Signage,Food,Signage; Food,2017-07-21 21:58:42 EEST,51.34141944,12.3783414,GERMANY
Hebrew,Graffiti,Politico-social,Graffiti; Politico-social,2017-07-21 19:14:17 EEST,51.3366421,12.3287144,GERMANY
English,Graffiti,Inspirational,Graffiti; Inspirational,2017-07-21 19:24:42 EEST,51.333883,12.3266838,GERMANY
Hebrew,Graffiti,Inspirational,Graffiti; Inspirational,2017-07-21 19:28:22 EEST,51.3341035,12.3291351,GERMANY
English,Graffiti,Politico-social,Graffiti; Politico-social,2017-07-21 19:31:24 EEST,51.3326091,12.3296977,GERMANY
Arabic,Signage,Food,Signage; Food,2017-07-21 20:22:32 EEST,51.3317923,12.336381,GERMANY
English,Billboard,Service,Billboard; Service,2017-07-21 23:51:44 EEST,51.33886046,12.37623869,GERMANY
Denglish,Billboard,Service,Billboard; Service,2017-07-21 23:52:27 EEST,51.33894805,12.37633324,GERMANY
English,Billboard,Service,Billboard; Service,2017-07-21 23:53:38 EEST,51.3393474,12.37654681,GERMANY
Arabic,Note,Food,Note; Food,2017-07-21 22:08:14 EEST,51.34349758,12.38634278,GERMANY
Unknown,Inscription,Culture,Inscription; Culture,2017-07-21 23:37:49 EEST,51.34106351,12.38595785,GERMANY
Arabic,Poster,"Culture,Politico-social","Poster; Culture,Politico-social",2017-07-22 09:40:29 EEST,51.33779493,12.38603196,GERMANY
English,Sticker,Inspirational,Sticker; Inspirational,2017-07-22 09:43:49 EEST,51.33735567,12.38456992,GERMANY
English,Graffiti,Inspirational,Graffiti; Inspirational,2017-07-22 09:56:42 EEST,51.33353016,12.38010006,GERMANY
French,Sticker,Politico-social,Sticker; Politico-social,2017-07-22 09:58:59 EEST,51.33245782,12.37824546,GERMANY
Japanese,Signage,Shopping,Signage; Shopping,2017-07-22 10:04:48 EEST,51.33290537,12.37611151,GERMANY
"English,Japanese",Poster,Culture,Poster; Culture,2017-07-20 17:18:06 EEST,51.3310593,12.3714539,GERMANY
Spanish,Poster,Culture,Poster; Culture,2017-07-20 17:19:15 EEST,51.3308377,12.3715811,GERMANY
English,Graffiti,Politico-social,Graffiti; Politico-social,2017-07-22 14:20:54 EEST,51.3382471,12.37844584,GERMANY
"Arabic,Chinese,English,French,Italian,Russian,Spanish",Signage,Food,Signage; Food,2017-07-22 14:41:46 EEST,51.337603,12.3784981,GERMANY
Turkish,Signage,Food,Signage; Food,2017-07-22 14:53:07 EEST,51.33636901,12.37530863,GERMANY
"Arabic,French",Sticker,"Politico-social,Service","Sticker; Politico-social,Service",2017-07-22 15:19:30 EEST,51.33285176,12.37332592,GERMANY
Arabic,Poster,"Politico-social,Culture","Poster; Politico-social,Culture",2017-07-22 17:03:32 EEST,51.3319858,12.3684296,GERMANY
Denglish,Signage,Entertainment,Signage; Entertainment,2017-07-22 18:28:14 EEST,51.33224217,12.37380247,GERMANY
Unknown,Signage,Food,Signage; Food,2017-07-22 18:33:41 EEST,51.32997668,12.37350583,GERMANY
Vietnamese,Signage,Food,Signage; Food,2017-07-22 18:34:28 EEST,51.33144794,12.37371058,GERMANY
English,Graffiti,Inspirational,Graffiti; Inspirational,2017-07-22 18:41:59 EEST,51.32669241,12.37359863,GERMANY
English,Sticker,Inspirational,Sticker; Inspirational,2017-07-22 18:45:22 EEST,51.32673378,12.37343647,GERMANY
"English,French,Italian",Sticker,,Sticker; ,2017-07-21 15:35:01 EEST,51.34549171,12.38492171,GERMANY
English,Sticker,Politico-social,Sticker; Politico-social,2017-07-22 18:45:54 EEST,51.33196321,12.36768168,GERMANY
English,Sticker,Politico-social,Sticker; Politico-social,2017-07-22 18:46:43 EEST,51.33200225,12.36753042,GERMANY
English,Sticker,Politico-social,Sticker; Politico-social,2017-07-22 18:48:16 EEST,51.33192206,12.36745677,GERMANY
Latin,Inscription,,Inscription; ,2017-07-22 18:50:16 EEST,51.33234845,12.36784168,GERMANY
Latin,Inscription,,Inscription; ,2017-07-22 18:52:06 EEST,51.33288362,12.36701618,GERMANY
English,,Culture,; Culture,2017-07-22 18:53:38 EEST,51.33350136,12.36689917,GERMANY
"English,Japanese",Poster,Entertainment,Poster; Entertainment,2017-07-22 18:57:15 EEST,51.33466104,12.36685025,GERMANY
English,Sticker,Politico-social,Sticker; Politico-social,2017-07-22 19:12:02 EEST,51.336948,12.36694769,GERMANY
